ticker,segment,stat,cv,reject,n_ep,config,alpha
VST,P. Power & Grid (data-centre electricity),8.49218639224872,2.394809355446024,True,2,A3_alpha95_baseline,0.95
ASX,P. Advanced Packaging (pure-play),6.1279919119149495,2.394809355446024,True,1,A3_alpha95_baseline,0.95
USO,C. AI-relevant: Energy (DC power proxy),4.785322891928645,2.389961828908242,True,2,A3_alpha95_baseline,0.95
UNG,C. AI-relevant: Energy (DC power proxy),3.015538988982393,2.389961828908242,True,1,A3_alpha95_baseline,0.95
BNO,C. AI-relevant: Energy (DC power proxy),5.11292428875649,2.389961828908242,True,0,A3_alpha95_baseline,0.95
JJC,C. AI-relevant: Industrial metals (hardware inputs),2.0420397669865373,2.389961828908242,False,1,A3_alpha95_baseline,0.95
PPLT,C. AI-relevant: Industrial metals (hardware inputs),5.4119974244134905,2.389961828908242,True,1,A3_alpha95_baseline,0.95
PALL,C. AI-relevant: Industrial metals (hardware inputs),3.6970521336214626,2.389961828908242,True,0,A3_alpha95_baseline,0.95
GLD,C. Confound: Precious metals (monetary),5.943643690673575,2.389961828908242,True,1,A3_alpha95_baseline,0.95
SLV,C. Confound: Precious metals (monetary),12.099596302088546,2.389961828908242,True,1,A3_alpha95_baseline,0.95
DBA,C. Placebo: Agriculture,2.9430750579844522,2.389961828908242,True,3,A3_alpha95_baseline,0.95
WEAT,C. Placebo: Agriculture,4.521791568026655,2.389961828908242,True,1,A3_alpha95_baseline,0.95
CORN,C. Placebo: Agriculture,3.7475942507233406,2.389961828908242,True,2,A3_alpha95_baseline,0.95
SOYB,C. Placebo: Agriculture,3.822685159776912,2.389961828908242,True,2,A3_alpha95_baseline,0.95
COW,C. Placebo: Livestock,2.948487430469716,2.389961828908242,True,0,A3_alpha95_baseline,0.95
DBC,C. Benchmark: Broad commodity indices,3.8152691887026746,2.389961828908242,True,3,A3_alpha95_baseline,0.95
GSG,C. Benchmark: Broad commodity indices,5.125905333433657,2.389961828908242,True,3,A3_alpha95_baseline,0.95
PDBC,C. Benchmark: Broad commodity indices,3.971065498903618,2.389961828908242,True,3,A3_alpha95_baseline,0.95
^IXIC,0. Index / Control,1.0420189395473032,2.389961828908242,False,0,A3_alpha95_baseline,0.95
^SOX,0. Index / Control,2.206190167567886,2.389961828908242,False,0,A3_alpha95_baseline,0.95
^GSPC,0. Index / Control,1.3468260675963586,2.389961828908242,False,0,A3_alpha95_baseline,0.95
